name,rating,date,text
Valery Ery,1,6 bulan lalu,"Hari hati teman masuk parkiran pantai mutun, sudah bayar 70 ribu, tapi masih ada insiden seperti ini… kecewa dengan oknum di sana👎 …"
Valery Ery,1,6 bulan lalu,"Hari hati teman masuk parkiran pantai mutun, sudah bayar 70 ribu, tapi masih ada insiden seperti ini… kecewa dengan oknum di sana👎 …"
Lutfiya Fakhira,4,6 bulan lalu,Lumayan bagus tapi ramenya itulohh ya weekend sih waktu kesini juga wajar
Lutfiya Fakhira,4,6 bulan lalu,Lumayan bagus tapi ramenya itulohh ya weekend sih waktu kesini juga wajar
Muhammad Faqih Al Hisyam,3,6 bulan lalu,
Muhammad Faqih Al Hisyam,3,6 bulan lalu,
Susyantono 75,4,6 bulan lalu,
Susyantono 75,4,6 bulan lalu,
yang liu,4,Diedit 7 bulan lalu,"Ada pantai umum tepat di sebelah pantai pribadi, Anda hanya perlu tetap di kiri sepanjang jalan."
yang liu,4,Diedit 7 bulan lalu,"Ada pantai umum tepat di sebelah pantai pribadi, Anda hanya perlu tetap di kiri sepanjang jalan."
Fahmi Maulana,1,7 bulan lalu,"Kami datang jam 6 pagi, belum ada yang pungutan apapun. Karna kurang puas sama pantainya, kami mutusin buat cabut, cari pantai lain. Ehh pas keluar ada yang minta 150k buat 3 orang 😡  (walau dibalikin lagi 50k sih).

Pantainya biasa aja, banyak yang jauh lebih bagus. Ombaknya terlalu tenang, airnya nggak terlalu jernih, banyak kapal.

Kalau begini doang 50k per orang (belum parkir, kamar mandi, dll) sih, kemahalan 🙂‍↔️🙂‍↔️"
Fahmi Maulana,1,7 bulan lalu,"Kami datang jam 6 pagi, belum ada yang pungutan apapun. Karna kurang puas sama pantainya, kami mutusin buat cabut, cari pantai lain. Ehh pas keluar ada yang minta 150k buat 3 orang 😡  (walau dibalikin lagi 50k sih).

Pantainya biasa aja, banyak yang jauh lebih bagus. Ombaknya terlalu tenang, airnya nggak terlalu jernih, banyak kapal.

Kalau begini doang 50k per orang (belum parkir, kamar mandi, dll) sih, kemahalan 🙂‍↔️🙂‍↔️"
Dina Deviana,4,7 bulan lalu,
Dina Deviana,4,7 bulan lalu,
May Soraya,3,7 bulan lalu,"Tlong donk pihak pengelola mutun dan warga sekitar,kerang ,sampah atau apapun yg ada dipantai di bersihin,kmren brenang ga nyaman bnyk bnyk karang kecil2 GT,ada yg agak besar juga kalo ,ga nyaman bg brenangnya👌 …"
May Soraya,3,7 bulan lalu,"Tlong donk pihak pengelola mutun dan warga sekitar,kerang ,sampah atau apapun yg ada dipantai di bersihin,kmren brenang ga nyaman bnyk bnyk karang kecil2 GT,ada yg agak besar juga kalo ,ga nyaman bg brenangnya👌 …"
Tirza Tartila,5,7 bulan lalu,
Tirza Tartila,5,7 bulan lalu,
Meihendri Hasnadi,4,7 bulan lalu,"Pantai nya bagus, sayang rada kotor"
Meihendri Hasnadi,4,7 bulan lalu,"Pantai nya bagus, sayang rada kotor"
Bayu Lesmana,4,7 bulan lalu,
Bayu Lesmana,4,7 bulan lalu,
Arbi Putra Channel,5,7 bulan lalu,
Arbi Putra Channel,5,7 bulan lalu,
philokalist,4,7 bulan lalu,"Pantai lumayan  mudah diakses, ada ruang ganti dan bilas.
Pantai lumayan cocok untuk keluarga dan bisa berenang juga.
Ada banyak gazebo untuk bersantai, bisa menikmati pemandangan dengan nyaman jika kondisi tidak terlalu ramai (karena jika ramai banyak yg bawa speaker sendiri dan pasang musik sesukanya dengan volume ala konser)"
philokalist,4,7 bulan lalu,"Pantai lumayan  mudah diakses, ada ruang ganti dan bilas.
Pantai lumayan cocok untuk keluarga dan bisa berenang juga.
Ada banyak gazebo untuk bersantai, bisa menikmati pemandangan dengan nyaman jika kondisi tidak terlalu ramai (karena jika ramai banyak yg bawa speaker sendiri dan pasang musik sesukanya dengan volume ala konser)"
Welly Mukti,5,7 bulan lalu,rumah yang indah dan nyaman
Welly Mukti,5,7 bulan lalu,rumah yang indah dan nyaman
Dede Abdullah,5,7 bulan lalu,
Dede Abdullah,5,7 bulan lalu,
Afrianto,5,8 bulan lalu,
Afrianto,5,8 bulan lalu,
fyola,5,8 bulan lalu,
fyola,5,8 bulan lalu,
niken susanti,3,8 bulan lalu,Kenapa sekarang jadi kotor...
niken susanti,3,8 bulan lalu,Kenapa sekarang jadi kotor...
heri sumardi,4,Diedit 8 bulan lalu,Aman dan nyaman untuk anak-anak berenang dan bermain pasir
heri sumardi,4,Diedit 8 bulan lalu,Aman dan nyaman untuk anak-anak berenang dan bermain pasir
akhmad kurniawan,5,8 bulan lalu,Bagus
akhmad kurniawan,5,8 bulan lalu,Bagus
Eko Prasetyo,4,8 bulan lalu,
Eko Prasetyo,4,8 bulan lalu,
fairuz ferazio ten comandement,1,8 bulan lalu,"Akses jelek, overprice buat saung. Ga worth"
fairuz ferazio ten comandement,1,8 bulan lalu,"Akses jelek, overprice buat saung. Ga worth"
Bayu Era Sandera,5,8 bulan lalu,
Bayu Era Sandera,5,8 bulan lalu,
Wigita Nana,1,8 bulan lalu,"Tiket masuk mahal 35rb,mobil 10rb,parkir masih byr lagi,duduk bayar 100rb,nyebrang byr 200rb,ya cukup sekali ajalah kesini."
